number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
118,0.96245125,0.026935203469029792,0.48824840989261314,mlogloss,3.8613677856096236,0.02156093507776366,11,13,6,multi:softprob,0.6920413890293547,gpu_hist,COMPLETE
119,0.96070125,0.008257489151918089,0.6330219657572503,mlogloss,3.330393810003534,0.03951379030357971,5,24,6,multi:softprob,0.8501418352420634,gpu_hist,COMPLETE
120,0.96263125,0.02223669845763391,0.6763103342641552,mlogloss,8.424740255660696,0.033327082774094886,11,31,6,multi:softprob,0.8672552268823596,gpu_hist,COMPLETE
121,0.96267875,0.005025713287375262,0.6103242051727392,mlogloss,2.3846136691858364,0.026082600333703635,11,5,6,multi:softprob,0.8591988915875668,gpu_hist,COMPLETE
122,0.96264,0.0017797511073804231,0.6135208995031285,mlogloss,2.804976937861731,0.02664612395778068,11,7,6,multi:softprob,0.8856563597533701,gpu_hist,COMPLETE
123,0.96264875,0.01593138670008248,0.6524823993812071,mlogloss,5.596417624386194,0.029157309068911563,11,1,6,multi:softprob,0.8201112750872257,gpu_hist,COMPLETE
124,0.9626475,0.006458321575223333,0.5875044640669311,mlogloss,1.738285892790696,0.019312801486059204,11,20,6,multi:softprob,0.8456491219874416,gpu_hist,COMPLETE
125,0.962525,0.010123230400178682,0.6218686800126564,mlogloss,4.708970833880481,0.02268492730027251,15,12,6,multi:softprob,0.8706596533318084,gpu_hist,COMPLETE
126,0.96245875,0.003945532228238876,0.6034227636734794,mlogloss,3.4051348427145602,0.031535801927519085,17,39,6,multi:softprob,0.8351182872964995,gpu_hist,COMPLETE
127,0.96265625,0.0029036260700494947,0.6396557262101713,mlogloss,0.14146209108297533,0.02716760726656526,11,23,6,multi:softprob,0.8553994954288731,gpu_hist,COMPLETE
128,0.96253625,0.0020165861834846497,0.6925868105394144,mlogloss,0.13602503629984808,0.015824120723236447,11,16,6,multi:softprob,0.9020361660428711,gpu_hist,COMPLETE
129,0.962565,0.007056553484935975,0.6384551394052057,mlogloss,0.002132694486405589,0.03624591465121675,11,32,6,multi:softprob,0.9376495939580263,gpu_hist,COMPLETE
130,0.9625875,0.0023105129174646466,0.6458243527317055,mlogloss,0.1578871754017583,0.02403702568011772,13,8,6,multi:softprob,0.8786514283640936,gpu_hist,COMPLETE
131,0.9626075,0.014313574279674246,0.624119489962555,mlogloss,2.052140375817161,0.027490809534779823,11,23,6,multi:softprob,0.8563502733283861,gpu_hist,COMPLETE
132,0.9626725,0.0028474341293277146,0.6631741057503642,mlogloss,2.7855772511619703,0.03006200263364232,11,24,6,multi:softprob,0.8401845751584589,gpu_hist,COMPLETE
133,0.9626275,0.0028336148596702984,0.6607800252999907,mlogloss,2.7718795538713503,0.030047104777864975,11,40,6,multi:softprob,0.8270449027199427,gpu_hist,COMPLETE
134,0.962515,0.0030640066030792486,0.6677925260089639,mlogloss,0.19918609408577032,0.04280268575331521,11,13,6,multi:softprob,0.813922560344253,gpu_hist,COMPLETE
135,0.96256375,0.0010414862338349094,0.6081475526681521,mlogloss,2.3890507654646673,0.03417903256125412,11,1,6,multi:softprob,0.8382798588493618,gpu_hist,COMPLETE
136,0.94670375,0.004308236429575824,0.6336084379991134,mlogloss,1.6584939268245893,0.020877450489424316,3,34,6,multi:softprob,0.8578592997105067,gpu_hist,COMPLETE
137,0.96262,0.0212968184878033,0.6783010932242242,mlogloss,1.1215666625142513,0.02515860370528184,11,20,6,multi:softprob,0.8802169160323234,gpu_hist,COMPLETE
138,0.96265625,0.0055710317107563545,0.5856712035549414,mlogloss,0.0017200568720298743,0.028770565111555492,11,48,6,multi:softprob,0.804895592332673,gpu_hist,COMPLETE
139,0.96221,0.0029048129002424592,0.6165463752659462,mlogloss,0.4028262076577347,0.0329922267361423,7,27,6,multi:softprob,0.8383231958605002,gpu_hist,COMPLETE
140,0.96251625,0.00899104612323993,0.7012514464205726,mlogloss,0.2719216787015039,0.03787161888981826,11,43,6,multi:softprob,0.6448868924747285,gpu_hist,COMPLETE
141,0.96257,0.005000660212574028,0.5944956643693198,mlogloss,0.0015649434948697967,0.03033597831088766,11,49,6,multi:softprob,0.80587218533407,gpu_hist,COMPLETE
142,0.962655,0.007347644716778064,0.5816467346887653,mlogloss,0.0017982948709480938,0.02809583391407946,11,34,6,multi:softprob,0.7915771994281854,gpu_hist,COMPLETE
143,0.9627375,0.005630765247240895,0.6431512120820496,mlogloss,3.121096916886777,0.022424459153394884,11,17,6,multi:softprob,0.822669718216357,gpu_hist,COMPLETE
144,0.9625625,0.003360658624489469,0.6592669519156386,mlogloss,3.395927600480285,0.022932968216574135,11,18,6,multi:softprob,0.4015182572937515,gpu_hist,COMPLETE
145,0.9623725,0.012480801666965054,0.6439838474763828,mlogloss,4.004259846599068,0.026019832701680613,20,24,6,multi:softprob,0.8299791449231873,gpu_hist,COMPLETE
146,0.9624925,0.005312393761931692,0.6036628629131242,mlogloss,2.303122600877956,0.019576400315758448,11,40,6,multi:softprob,0.818847110375423,gpu_hist,COMPLETE
147,0.96265125,0.0021925791465796664,0.6306343054596576,mlogloss,3.004993005662958,0.024802588373994433,11,10,6,multi:softprob,0.8642353615876986,gpu_hist,COMPLETE
148,0.96260625,0.01019746127127152,0.6473064505021047,mlogloss,6.347822284626016,0.02182856089693511,11,26,6,multi:softprob,0.8530098920724644,gpu_hist,COMPLETE
149,0.96259,0.006268491545852576,0.5877008884688361,mlogloss,0.001230818722393474,0.030440916399760112,13,54,6,multi:softprob,0.8057614181295588,gpu_hist,COMPLETE
150,0.9625725,0.014605185980209788,0.5719227981066122,mlogloss,0.004183465155471864,0.0236350757330654,11,46,6,multi:softprob,0.7681662200522172,gpu_hist,COMPLETE
151,0.9626375,0.02111293960484653,0.6248847822701304,mlogloss,0.001917484089798607,0.02790452196157147,11,15,6,multi:softprob,0.8425306669360672,gpu_hist,COMPLETE
152,0.96262,0.0012926019127082048,0.6114736205069383,mlogloss,1.92651881826021,0.0330496656504385,11,31,6,multi:softprob,0.8205561433180122,gpu_hist,COMPLETE
153,0.96267,0.0024529048120680145,0.5497134291054147,mlogloss,0.033164602578137616,0.028921825663870988,11,22,6,multi:softprob,0.8297469992879989,gpu_hist,COMPLETE
154,0.96264,0.0016426085783832092,0.5477305829739125,mlogloss,2.6076934946708548,0.03685951699834734,11,20,6,multi:softprob,0.8702949445485799,gpu_hist,COMPLETE
155,0.96250625,0.00239973483767507,0.5590929191278202,mlogloss,0.002559552975754742,0.03136453017124376,11,37,6,multi:softprob,0.8314030802573975,gpu_hist,COMPLETE
